@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
173,13759,95,13786,273,0.980582,0.993143,0.49951,0.993143,0.50049,0.664702,0.986816,1.006411,0.019052
174,13759,95,13785,274,0.980511,0.993143,0.499528,0.993143,0.500472,0.664718,0.98678,1.006448,0.019061
175,13759,95,13784,275,0.98044,0.993143,0.499546,0.993143,0.500454,0.664734,0.986745,1.006484,0.019157
176,13759,95,13783,276,0.980368,0.993143,0.499564,0.993143,0.500436,0.66475,0.986709,1.006521,0.019224
177,13758,96,13783,276,0.980368,0.993071,0.499546,0.993071,0.500454,0.664718,0.986673,1.006484,0.019444
178,13758,96,13782,277,0.980297,0.993071,0.499564,0.993071,0.500436,0.664734,0.986637,1.006521,0.019692
179,13757,97,13782,277,0.980297,0.992998,0.499546,0.992998,0.500454,0.664702,0.986601,1.006484,0.02
180,13757,97,13780,279,0.980155,0.992998,0.499582,0.992998,0.500418,0.664734,0.98653,1.006557,0.02
181,13751,103,13774,285,0.979728,0.992565,0.499582,0.992565,0.500418,0.664637,0.9861,1.006557,0.02
182,13751,103,13772,287,0.979586,0.992565,0.499619,0.992565,0.500381,0.664669,0.986028,1.00663,0.02
183,13751,103,13771,288,0.979515,0.992565,0.499637,0.992565,0.500363,0.664685,0.985992,1.006667,0.02019
184,13751,103,13770,289,0.979444,0.992565,0.499655,0.992565,0.500345,0.664701,0.985956,1.006703,0.020286
185,13751,103,13769,290,0.979373,0.992565,0.499673,0.992565,0.500327,0.664717,0.985921,1.00674,0.020367
186,13750,104,13769,290,0.979373,0.992493,0.499655,0.992493,0.500345,0.664685,0.985885,1.006703,0.020369
187,13749,105,13769,290,0.979373,0.992421,0.499637,0.992421,0.500363,0.664652,0.985849,1.006666,0.020417
188,13749,105,13768,291,0.979302,0.992421,0.499655,0.992421,0.500345,0.664668,0.985813,1.006703,0.020476
189,13748,106,13768,291,0.979302,0.992349,0.499637,0.992349,0.500363,0.664636,0.985777,1.006666,0.020477
190,13748,106,13767,292,0.97923,0.992349,0.499655,0.992349,0.500345,0.664652,0.985741,1.006703,0.020682
191,13748,106,13766,293,0.979159,0.992349,0.499673,0.992349,0.500327,0.664668,0.985706,1.00674,0.020742
192,13748,106,13765,294,0.979088,0.992349,0.499691,0.992349,0.500309,0.664684,0.98567,1.006776,0.020932
193,13747,107,13765,294,0.979088,0.992277,0.499673,0.992277,0.500327,0.664652,0.985634,1.006739,0.020944
194,13746,108,13765,294,0.979088,0.992204,0.499655,0.992204,0.500345,0.66462,0.985598,1.006703,0.021001
195,13745,109,13765,294,0.979088,0.992132,0.499636,0.992132,0.500364,0.664588,0.985562,1.006666,0.021025
196,13744,110,13765,294,0.979088,0.99206,0.499618,0.99206,0.500382,0.664555,0.985526,1.00663,0.021087
197,13743,111,13765,294,0.979088,0.991988,0.4996,0.991988,0.5004,0.664523,0.985491,1.006593,0.021247
198,13743,111,13764,295,0.979017,0.991988,0.499618,0.991988,0.500382,0.664539,0.985455,1.006629,0.021298
199,13743,111,13763,296,0.978946,0.991988,0.499636,0.991988,0.500364,0.664555,0.985419,1.006666,0.021375
200,13743,111,13762,297,0.978875,0.991988,0.499655,0.991988,0.500345,0.664571,0.985383,1.006703,0.021385
201,13743,111,13761,298,0.978804,0.991988,0.499673,0.991988,0.500327,0.664587,0.985347,1.006739,0.02161
202,13742,112,13761,298,0.978804,0.991916,0.499655,0.991916,0.500345,0.664555,0.985312,1.006703,0.021667
203,13742,112,13760,299,0.978732,0.991916,0.499673,0.991916,0.500327,0.664571,0.985276,1.006739,0.021935
204,13742,112,13759,300,0.978661,0.991916,0.499691,0.991916,0.500309,0.664587,0.98524,1.006776,0.021964
205,13742,112,13758,301,0.97859,0.991916,0.499709,0.991916,0.500291,0.664603,0.985204,1.006812,0.022143
206,13742,112,13757,302,0.978519,0.991916,0.499727,0.991916,0.500273,0.664619,0.985168,1.006849,0.022222
207,13742,112,13756,303,0.978448,0.991916,0.499745,0.991916,0.500255,0.664635,0.985132,1.006886,0.022333
208,13742,112,13755,304,0.978377,0.991916,0.499764,0.991916,0.500236,0.664651,0.985097,1.006922,0.0225
209,13742,112,13753,306,0.978235,0.991916,0.4998,0.991916,0.5002,0.664684,0.985025,1.006996,0.022917
210,13742,112,13752,307,0.978163,0.991916,0.499818,0.991916,0.500182,0.6647,0.984989,1.007032,0.022972
211,13742,112,13751,308,0.978092,0.991916,0.499836,0.991916,0.500164,0.664716,0.984953,1.007069,0.023214
212,13742,112,13750,309,0.978021,0.991916,0.499855,0.991916,0.500145,0.664732,0.984917,1.007105,0.023333
213,13742,112,13749,310,0.97795,0.991916,0.499873,0.991916,0.500127,0.664748,0.984882,1.007142,0.023333
214,13742,112,13748,311,0.977879,0.991916,0.499891,0.991916,0.500109,0.664764,0.984846,1.007179,0.02359
215,13742,112,13747,312,0.977808,0.991916,0.499909,0.991916,0.500091,0.66478,0.98481,1.007215,0.023627
216,13742,112,13746,313,0.977737,0.991916,0.499927,0.991916,0.500073,0.664796,0.984774,1.007252,0.023667
217,13742,112,13744,315,0.977594,0.991916,0.499964,0.991916,0.500036,0.664828,0.984702,1.007325,0.023675
218,13742,112,13743,316,0.977523,0.991916,0.499982,0.991916,0.500018,0.664844,0.984667,1.007362,0.023705
219,13742,112,13742,317,0.977452,0.991916,0.5,0.991916,0.5,0.66486,0.984631,1.007399,0.02375
220,13742,112,13741,318,0.977381,0.991916,0.500018,0.991916,0.499982,0.664877,0.984595,1.007435,0.023962
221,13741,113,13741,318,0.977381,0.991844,0.5,0.991844,0.5,0.664844,0.984559,1.007399,0.024
222,13740,114,13739,320,0.977239,0.991771,0.500018,0.991771,0.499982,0.664844,0.984452,1.007435,0.02407
223,13740,114,13738,321,0.977168,0.991771,0.500036,0.991771,0.499964,0.66486,0.984416,1.007472,0.024152
224,13740,114,13737,322,0.977097,0.991771,0.500055,0.991771,0.499945,0.664876,0.98438,1.007509,0.024444
225,13740,114,13736,323,0.977025,0.991771,0.500073,0.991771,0.499927,0.664892,0.984344,1.007545,0.024493
226,13739,115,13736,323,0.977025,0.991699,0.500055,0.991699,0.499945,0.66486,0.984308,1.007509,0.024607
