@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
142,13812,42,13958,101,0.992816,0.996968,0.497371,0.996968,0.502629,0.663656,0.994877,1.002102,0
143,13812,42,13957,102,0.992745,0.996968,0.497389,0.996968,0.502611,0.663672,0.994841,1.002138,0
144,13812,42,13956,103,0.992674,0.996968,0.497407,0.996968,0.502593,0.663687,0.994805,1.002174,0
145,13812,42,13955,104,0.992603,0.996968,0.497425,0.996968,0.502575,0.663703,0.994769,1.00221,0
146,13812,42,13954,105,0.992531,0.996968,0.497443,0.996968,0.502557,0.663719,0.994734,1.002247,0
147,13812,42,13953,106,0.99246,0.996968,0.497461,0.996968,0.502539,0.663735,0.994698,1.002283,0
148,13812,42,13952,107,0.992389,0.996968,0.497479,0.996968,0.502521,0.663751,0.994662,1.002319,0
149,13812,42,13951,108,0.992318,0.996968,0.497497,0.996968,0.502503,0.663767,0.994626,1.002355,0
150,13812,42,13950,109,0.992247,0.996968,0.497515,0.996968,0.502485,0.663783,0.99459,1.002391,0
151,13811,43,13950,109,0.992247,0.996896,0.497496,0.996896,0.502504,0.663751,0.994555,1.002355,0
152,13811,43,13949,110,0.992176,0.996896,0.497514,0.996896,0.502486,0.663767,0.994519,1.002391,0
153,13810,44,13949,110,0.992176,0.996824,0.497496,0.996824,0.502504,0.663735,0.994483,1.002354,0
154,13809,45,13949,110,0.992176,0.996752,0.497478,0.996752,0.502522,0.663703,0.994447,1.002318,0
155,13809,45,13948,111,0.992105,0.996752,0.497496,0.996752,0.502504,0.663719,0.994411,1.002354,0
156,13809,45,13947,112,0.992034,0.996752,0.497514,0.996752,0.502486,0.663735,0.994375,1.00239,0
157,13809,45,13946,113,0.991962,0.996752,0.497532,0.996752,0.502468,0.663751,0.99434,1.002426,0
158,13809,45,13944,115,0.99182,0.996752,0.497568,0.996752,0.502432,0.663783,0.994268,1.002498,0
159,13809,45,13943,116,0.991749,0.996752,0.497586,0.996752,0.502414,0.663798,0.994232,1.002534,0
160,13809,45,13942,117,0.991678,0.996752,0.497604,0.996752,0.502396,0.663814,0.994196,1.002571,0
161,13809,45,13941,118,0.991607,0.996752,0.497622,0.996752,0.502378,0.66383,0.99416,1.002607,0
162,13809,45,13940,119,0.991536,0.996752,0.49764,0.996752,0.50236,0.663846,0.994125,1.002643,0
163,13808,46,13940,119,0.991536,0.99668,0.497621,0.99668,0.502379,0.663814,0.994089,1.002606,0
164,13807,47,13940,119,0.991536,0.996607,0.497603,0.996607,0.502397,0.663782,0.994053,1.00257,0
165,13807,47,13939,120,0.991465,0.996607,0.497621,0.996607,0.502379,0.663798,0.994017,1.002606,0
166,13807,47,13938,121,0.991393,0.996607,0.497639,0.996607,0.502361,0.663814,0.993981,1.002642,0
167,13807,47,13937,122,0.991322,0.996607,0.497657,0.996607,0.502343,0.66383,0.993945,1.002678,0
168,13806,48,13937,122,0.991322,0.996535,0.497639,0.996535,0.502361,0.663798,0.99391,1.002642,0
169,13806,48,13936,123,0.991251,0.996535,0.497657,0.996535,0.502343,0.663814,0.993874,1.002678,0
170,13806,48,13935,124,0.99118,0.996535,0.497675,0.996535,0.502325,0.66383,0.993838,1.002714,0
171,13806,48,13934,125,0.991109,0.996535,0.497693,0.996535,0.502307,0.663846,0.993802,1.00275,0
172,13805,49,13934,125,0.991109,0.996463,0.497675,0.996463,0.502325,0.663814,0.993766,1.002714,0
173,13805,49,13933,126,0.991038,0.996463,0.497693,0.996463,0.502307,0.66383,0.993731,1.00275,0
174,13805,49,13932,127,0.990967,0.996463,0.497711,0.996463,0.502289,0.663846,0.993695,1.002786,0
175,13805,49,13931,128,0.990896,0.996463,0.497729,0.996463,0.502271,0.663862,0.993659,1.002822,0
176,13805,49,13930,129,0.990824,0.996463,0.497747,0.996463,0.502253,0.663877,0.993623,1.002858,0
177,13805,49,13929,130,0.990753,0.996463,0.497764,0.996463,0.502236,0.663893,0.993587,1.002894,0
178,13804,50,13929,130,0.990753,0.996391,0.497746,0.996391,0.502254,0.663861,0.993551,1.002858,0
179,13804,50,13928,131,0.990682,0.996391,0.497764,0.996391,0.502236,0.663877,0.993516,1.002894,0
180,13804,50,13927,132,0.990611,0.996391,0.497782,0.996391,0.502218,0.663893,0.99348,1.00293,0
181,13804,50,13926,133,0.99054,0.996391,0.4978,0.996391,0.5022,0.663909,0.993444,1.002966,0
182,13804,50,13925,134,0.990469,0.996391,0.497818,0.996391,0.502182,0.663925,0.993408,1.003003,0
183,13803,51,13925,134,0.990469,0.996319,0.4978,0.996319,0.5022,0.663893,0.993372,1.002966,0
184,13803,51,13924,135,0.990398,0.996319,0.497818,0.996319,0.502182,0.663909,0.993336,1.003002,0
185,13803,51,13923,136,0.990326,0.996319,0.497836,0.996319,0.502164,0.663925,0.993301,1.003038,0
186,13802,52,13923,136,0.990326,0.996247,0.497818,0.996247,0.502182,0.663893,0.993265,1.003002,0
187,13802,52,13922,137,0.990255,0.996247,0.497836,0.996247,0.502164,0.663909,0.993229,1.003038,0
188,13802,52,13921,138,0.990184,0.996247,0.497854,0.996247,0.502146,0.663925,0.993193,1.003074,0
189,13802,52,13920,139,0.990113,0.996247,0.497872,0.996247,0.502128,0.663941,0.993157,1.003111,0
190,13802,52,13919,140,0.990042,0.996247,0.49789,0.996247,0.50211,0.663957,0.993121,1.003147,0
191,13802,52,13918,141,0.989971,0.996247,0.497908,0.996247,0.502092,0.663973,0.993086,1.003183,0
192,13801,53,13918,141,0.989971,0.996174,0.49789,0.996174,0.50211,0.663941,0.99305,1.003146,0
193,13801,53,13917,142,0.9899,0.996174,0.497907,0.996174,0.502093,0.663957,0.993014,1.003183,0
194,13801,53,13916,143,0.989829,0.996174,0.497925,0.996174,0.502075,0.663972,0.992978,1.003219,0
195,13801,53,13915,144,0.989757,0.996174,0.497943,0.996174,0.502057,0.663988,0.992942,1.003255,0
196,13801,53,13914,145,0.989686,0.996174,0.497961,0.996174,0.502039,0.664004,0.992907,1.003291,0
197,13801,53,13913,146,0.989615,0.996174,0.497979,0.996174,0.502021,0.66402,0.992871,1.003327,0
198,13801,53,13912,147,0.989544,0.996174,0.497997,0.996174,0.502003,0.664036,0.992835,1.003364,0
199,13800,54,13912,147,0.989544,0.996102,0.497979,0.996102,0.502021,0.664004,0.992799,1.003327,0
